country,generic programmes and qualifications,education,arts and humanities,social sciences journalism and information,business administration and law,natural sciences mathematics and statistics,information and communication technologies,engineering manufacturing and construction,agriculture forestry fisheries and veterinary,health and welfare,services,unknown
EU,0.007560436237170884,2.0432708967307414,11.772670283075334,10.239350810541769,21.891684150175465,9.070759382816389,7.837715236169126,18.0628902287662,1.85930028162625,13.92657556341001,2.3946421708532584,0.8935805595982887
Belgium,0.0,2.8805363034863216,11.845114435851329,11.562298144236308,14.68200624989089,5.586494649185593,3.3623714669785794,11.286464970932771,4.4761788376599565,32.74384176253906,1.5432691468375204,0.031424032401668966
Bulgaria,0.0,2.8727272727272726,5.485714285714286,5.5168831168831165,8.592207792207793,1.0337662337662339,4.067532467532468,5.683116883116883,3.3974025974025976,58.03636363636364,4.1090909090909085,1.2051948051948052
Czechia,0.0017769564290283603,1.8995664226313171,10.242376856919469,10.317009026938658,21.112019333285946,9.346790816689175,13.446229298457602,10.256592508351694,3.0954580993674035,17.000142156514322,3.2820385244153814,0.0
Denmark,0.0,1.863584282536901,9.034845319134597,9.961582530161085,23.00330255442475,9.476309226932669,8.182247084990227,24.94102581384377,1.4861494911370223,9.567297971287998,2.4499561906045697,0.03369953494641774
Germany,0.0,1.4808706110865626,11.793798160194898,7.452084962795105,18.440584408679644,11.747720328830308,11.699515828325815,27.558560197732973,1.442826863139389,7.032894845662894,0.9281729312825941,0.4229708622698176
Estonia,0.0,3.9638529472170876,16.081330868761555,9.426987060998151,29.02033271719039,9.550215650030808,13.760525775313207,7.783939207229411,4.949681659478332,5.093448346683097,0.39022386527007596,0.0
Ireland,0.35541088155185013,1.0861622267986448,13.681658141234305,8.18773666378795,19.208795588919152,10.768617551318673,9.978077459642597,12.093934763834453,1.3120308244203813,21.17850262406165,2.149073274430346,0.0
Greece,0.0,3.2969954799255516,14.840278041554297,15.675922057203632,13.788126258214001,12.678998746533976,3.12606829490637,17.33201656094504,2.8639799445436243,13.229764120484674,3.1678504956888363,0.0
Spain,0.0,3.364264599361798,8.87414107006519,12.158140991758188,25.99596718936591,4.896145337796833,3.3202169103972126,12.471369002173018,2.271881913040074,22.37524715647697,4.2726258295648085,0.0
France,0.0,1.4101232002374944,14.394841736750452,9.386098610874784,30.906497427747027,13.38368022243381,5.834543130944149,14.501641825086796,0.7523070629251639,7.2399598866108885,2.185600451818679,0.005068478768504473
Croatia,0.0,2.023950075898128,6.2405127340192275,6.932029009951088,19.682914488109294,5.1104739416427725,4.435823916343397,27.205262270197334,4.688817675830663,18.299881936245573,5.380333951762523,0.0
Italy,0.0,0.9469234382339126,18.183184593705963,15.42320338186942,13.782057303898544,7.561296383278535,3.317050258337247,23.603569751056835,1.8309065288868012,11.942696101456082,1.7022076092062002,1.7069046500704554
Cyprus,0.0,1.237812632471386,4.17125900805426,4.281475201356507,50.09749894022891,2.102585841458245,4.459516744383213,6.39253921153031,0.14412886816447648,24.552776600254344,2.560406952098347,0.0
Latvia,0.0,0.496031746031746,2.430555555555556,4.771825396825396,34.6031746031746,0.5158730158730158,13.799603174603176,8.69047619047619,1.25,29.394841269841272,4.0476190476190474,0.0
Lithuania,0.0,0.6721773094740667,10.091743119266056,12.553365428285948,24.734308293214642,2.6705422835861565,8.874557180488692,11.18176037787265,1.6804432736851667,25.86065946044146,1.6804432736851667,0.0
Luxembourg,0.0,3.6930455635491604,5.5875299760191846,11.726618705035971,38.00959232613909,11.894484412470025,11.462829736211031,7.649880095923262,7.026378896882495,2.446043165467626,0.5275779376498801,0.0
Hungary,0.0,1.9051042415528396,6.606757728253056,10.939372154325426,11.418643661634317,3.8533429187634796,7.08842559309849,10.551162233405224,5.240833932422718,28.437574886173017,1.7133956386292832,12.245387011742153
Malta,0.0,2.9157321371355334,7.93015059275873,12.143543735982057,30.93559756488305,2.306952899711631,1.8423582185197054,1.8904197372636975,0.016020506247997435,34.3479653957065,5.68727971803909,0.0
Netherlands,0.0,2.143357804257203,10.132438115615892,20.95768620651492,24.322130814918655,5.63692035267643,3.935514811672262,10.141291917216954,0.9311248017117351,5.287933006234552,4.414357914929723,12.09724425425167
Austria,0.013791518216296978,4.709803470865418,12.462935294793702,15.571773359383979,22.677853120330997,10.749339156418802,6.625675209746006,15.226985403976553,1.3423744397195725,9.112745661418229,1.08033559360993,0.4240891851511321
